"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,         239,      -3.457023003,      -2.933642697,      -3.060754518,      -7.757553511
          0,           0,         240,      -3.448532819,      -2.941916626,      -3.065976373,      -7.756567058
          0,           0,         241,      -3.440713631,      -2.949872548,      -3.071415442,      -7.756024467
          0,           0,         242,      -3.433491637,      -2.957126443,      -3.076893634,      -7.755814595
          0,           0,         243,      -3.426952636,      -2.963692025,      -3.082173691,      -7.755899231
          0,           0,         244,      -3.421151541,      -2.969725861,      -3.086979785,      -7.756354235
          0,           0,         245,      -3.416099456,      -2.974955987,      -3.090932684,      -7.757119675
          0,           0,         246,      -3.411865958,      -2.979364638,      -3.093697756,      -7.758171957
          0,           0,         247,      -3.408514104,      -2.982962374,      -3.094733964,      -7.759501755
          0,           0,         248,      -3.406081704,      -2.985715149,      -3.093770232,      -7.761130472
          0,           0,         249,      -3.404587839,      -2.987651742,      -3.090556095,      -7.763050974
          0,           0,         250,      -3.404132554,      -2.988756593,      -3.084872474,      -7.765224735
          0,           0,         251,      -3.404743831,      -2.989086059,      -3.076669701,      -7.767650549
          0,           0,         252,      -3.406475978,      -2.988359134,      -3.066009614,      -7.770263539
          0,           0,         253,      -3.409487181,       -2.98741655,       -3.05314531,      -7.773161256
          0,           0,         254,      -3.413816709,       -2.98585988,      -3.038387851,      -7.776255568
          0,           0,         255,      -3.419498759,      -2.983938287,      -3.022141334,       -7.77951402
          0,           0,         256,      -3.426672513,      -2.981477076,      -3.004844903,      -7.782910874
          0,           0,         257,      -3.435367963,      -2.978777608,      -2.986905169,      -7.786399741
          0,           0,         258,      -3.445718197,      -2.975876826,      -2.968735607,      -7.789952628
          0,           0,         259,      -3.457809913,       -2.97288926,      -2.950698758,      -7.793530145
          0,           0,         260,      -3.471704582,      -2.969943614,       -2.93310974,      -7.797060451
          0,           0,         261,      -3.487453669,      -2.967005218,      -2.916267621,      -7.800475339
          0,           0,         262,      -3.505183794,      -2.964218877,      -2.900376357,      -7.803732558
          0,           0,         263,      -3.524910691,      -2.961606961,      -2.885633372,      -7.806742994
          0,           0,         264,      -3.546604605,       -2.95922453,      -2.872175002,      -7.809500537
          0,           0,         265,      -3.570247988,      -2.957140305,      -2.860093275,      -7.811880335
          0,           0,         266,      -3.595655511,      -2.955392752,      -2.849492865,      -7.813867984
          0,           0,         267,      -3.622582664,      -2.953991468,      -2.840442583,      -7.815410135
          0,           0,         268,      -3.650585544,       -2.95297644,       -2.83294199,      -7.816489058
          0,           0,         269,      -3.678883889,      -2.952416279,      -2.826987315,      -7.817048011
          0,           0,         270,      -3.706610017,      -2.952217685,      -2.822571695,      -7.817084924
          0,           0,         271,      -3.732068412,      -2.952412429,      -2.819726804,      -7.816597635
          0,           0,         272,      -3.753301839,      -2.952986648,      -2.818473486,      -7.815622133
          0,           0,         273,      -3.768294814,      -2.953930701,      -2.818856638,       -7.81416578
          0,           0,         274,      -3.775327745,      -2.955330385,      -2.820832022,      -7.812229089
          0,           0,         275,      -3.773642034,      -2.957129563,      -2.824442345,       -7.80989516
          0,           0,         276,      -3.763699434,      -2.959392883,      -2.829665189,       -7.80722421
          0,           0,         277,      -3.746873023,      -2.962029714,      -2.836467493,      -7.804283966
          0,           0,         278,      -3.725265624,      -2.965274361,      -2.844839453,      -7.801135626
          0,           0,         279,      -3.700856905,      -2.968876444,       -2.85471255,      -7.797886108
          0,           0,         280,       -3.67536462,      -2.972936573,      -2.866018219,      -7.794594025
          0,           0,         281,      -3.650035805,      -2.977450845,      -2.878648189,      -7.791407689
          0,           0,         282,      -3.625746896,       -2.98274834,      -2.892474408,      -7.788352645
          0,           0,         283,       -3.60301393,      -2.988484088,      -2.907334718,      -7.785477112
          0,           0,         284,       -3.58217668,       -2.99468784,      -2.923030004,      -7.782850195
          0,           0,         285,      -3.563440058,      -3.001441757,      -2.939270284,      -7.780467996
          0,           0,         286,      -3.546842482,      -3.008617088,      -2.955783047,      -7.778398609
          0,           0,         287,      -3.532378815,      -3.016182403,      -2.972226741,       -7.77668738
          0,           0,         288,      -3.519989241,      -3.024133053,      -2.988224153,      -7.775397041
          0,           0,         289,      -3.509657971,      -3.032378134,      -3.003361226,      -7.774602211
